LocusTag	GeneID	Symbol	Description
YDL086W	851472	YDL086W	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL086W is not an essential gene
YDL085C-A	851473	YDL085C-A	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus
YDL085W	851474	NDE2	Mitochondrial external NADH dehydrogenase, catalyzes the oxidation of cytosolic NADH; Nde1p and Nde2p are involved in providing the cytosolic NADH to the mitochondrial respiratory chain
YDL084W	851475	SUB2	Component of the TREX complex required for nuclear mRNA export; member of the DEAD-box RNA helicase superfamily and is involved in early and late steps of spliceosome assembly; homolog of the human splicing factor hUAP56
YDL083C	851476	RPS16B	Protein component of the small (40S) ribosomal subunit; identical to Rps16Ap and has similarity to E. coli S9 and rat S16 ribosomal proteins
YDL082W	851477	RPL13A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl13Bp; not essential for viability; has similarity to rat L13 ribosomal protein
YDL081C	851478	RPP1A	Ribosomal stalk protein P1 alpha, involved in the interaction between translational elongation factors and the ribosome; accumulation of P1 in the cytoplasm is regulated by phosphorylation and interaction with the P2 stalk component
YDL080C	851479	THI3	Probable alpha-ketoisocaproate decarboxylase, may have a role in catabolism of amino acids to long-chain and complex alcohols; required for expression of enzymes involved in thiamine biosynthesis
YDL079C	851480	MRK1	Glycogen synthase kinase 3 (GSK-3) homolog; one of four GSK-3 homologs in S. cerevisiae that function to activate Msn2p-dependent transcription of stress responsive genes and that function in protein degradation
YDL078C	851481	MDH3	Mdh3p
YDL077C	851482	VAM6	Vacuolar protein that plays a critical role in the tethering steps of vacuolar membrane fusion by facilitating guanine nucleotide exchange on small guanosine triphosphatase Ypt7p
YDL076C	851483	RXT3	Rxt3p
YDL075W	851484	RPL31A	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl31Bp and has similarity to rat L31 ribosomal protein; associates with the karyopherin Sxm1p
YDL074C	851485	BRE1	Bre1p
YDL073W	851486	YDL073W	Putative protein of unknown function; YDL073W is not an essential gene
YDL072C	851487	YET3	Protein of unknown function; YET3 null mutant decreases the level of secreted invertase; homolog of human BAP31 protein
YDL070W	851488	BDF2	Bdf2p
YDL069C	851491	CBS1	Cbs1p
YDL067C	851492	COX9	Cox9p
YDL066W	851493	IDP1	Idp1p
YDL065C	851494	PEX19	Chaperone and import receptor for newly-synthesized class I peroxisomal membrane proteins (PMPs), binds PMPs in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane
YDL064W	851495	UBC9	SUMO-conjugating enzyme involved in the Smt3p conjugation pathway; nuclear protein required for S- and M-phase cyclin degradation and mitotic control; involved in proteolysis mediated by the anaphase-promoting complex cyclosome (APCC)
YDL063C	851497	YDL063C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YDL063C is not an essential gene
YDL061C	851498	RPS29B	Protein component of the small (40S) ribosomal subunit; nearly identical to Rps29Ap and has similarity to rat S29 and E. coli S14 ribosomal proteins
YDL060W	851499	TSR1	Protein required for processing of 20S pre-rRNA in the cytoplasm, associates with pre-40S ribosomal particles
YDL059C	851500	RAD59	Protein involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing; anneals complementary single-stranded DNA; homologous to Rad52p
YDL058W	851501	USO1	Essential protein involved in intracellular protein transport, coiled-coil protein necessary for transport from ER to Golgi; required for assembly of the ER-to-Golgi SNARE complex
YDL057W	851502	YDL057W	Putative protein of unknown function; YDL057W is not an essential gene
YDL056W	851503	MBP1	Mbp1p
YDL055C	851504	PSA1	GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure
TK(UUU)D	851505	TK(UUU)D	tRNA
YDL054C	851506	MCH1	Mch1p
YDL053C	851507	PBP4	Pbp1p binding protein, interacts strongly with Pab1p-binding protein 1 (Pbp1p) in the yeast two-hybrid system; also interacts with Lsm12p in a copurification assay
YDL052C	851508	SLC1	1-acyl-sn-gylcerol-3-phosphate acyltransferase, catalyzes the acylation of lysophosphatidic acid to form phosphatidic acid, a key intermediate in lipid metabolism; located in lipid particles and endoplasmic reticulum
YDL051W	851509	LHP1	Lhp1p
YDL049C	851511	KNH1	Knh1p
YDL048C	851512	STP4	Protein containing a Kruppel-type zinc-finger domain; has similarity to Stp1p, Stp2p, and Stp3p
YDL047W	851513	SIT4	Sit4p
YDL046W	851514	NPC2	Functional homolog of human NPC2/He1, which is a cholesterol-binding protein whose deficiency causes Niemann-Pick type C2 disease involving retention of cholesterol in lysosomes
YDL045W-A	851515	MRP10	Mitochondrial ribosomal protein of the small subunit
YDL045C	851516	FAD1	Fad1p
YDL044C	851517	MTF2	Mitochondrial matrix protein that interacts with an N-terminal region of mitochondrial RNA polymerase (Rpo41p) and couples RNA processing and translation to transcription
YDL043C	851518	PRP11	Prp11p
YDL042C	851520	SIR2	Conserved NAD+ dependent histone deacetylase of the Sirtuin family involved in regulation of lifespan; plays roles in silencing at HML, HMR, telomeres, and the rDNA locus; negatively regulates initiation of DNA replication
YDL040C	851521	NAT1	Nat1p
YDL039C	851522	PRM7	Pheromone-regulated protein, predicted to have one transmembrane segment; promoter contains Gcn4p binding elements
YDL038C	851523	YDL038C	Putative protein of unknown function; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)
YDL037C	851524	BSC1	Bsc1p
YDL036C	851525	PUS9	Mitochondrial tRNA pseudouridine synthase involved in pseudouridylation of mitochondrial tRNAs at position 32
YDL035C	851527	GPR1	Gpr1p
YDL033C	851529	SLM3	Slm3p
YDL031W	851530	DBP10	Dbp10p
YDL030W	851531	PRP9	Prp9p
YDL029W	851532	ARP2	Arp2p
YDL028C	851533	MPS1	Dual-specificity kinase required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, and checkpoint protein Mad1p
YDL027C	851535	YDL027C	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDL027C is not an essential gene
YDL025C	851536	YDL025C	Putative protein kinase, potentially phosphorylated by Cdc28p; YDL025C is not an essential gene
YDL024C	851537	DIA3	Dia3p
TA(AGC)D	851538	TA(AGC)D	tRNA
YDL022W	851539	GPD1	Gpd1p
YDL021W	851541	GPM2	Gpm2p
YDL020C	851542	RPN4	Rpn4p
YDL019C	851543	OSH2	Member of an oxysterol-binding protein family with seven members in S. cerevisiae; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability
YDL018C	851544	ERP3	Erp3p
YDL017W	851545	CDC7	Cdc7p
YDL015C	851547	TSC13	Enoyl reductase that catalyzes the last step in each cycle of very long chain fatty acid elongation, localizes to the ER, highly enriched in a structure marking nuclear-vacuolar junctions, coimmunoprecipitates with elongases Fen1p and Sur4p
YDL014W	851548	NOP1	Nop1p
YDL013W	851549	SLX5	Slx5p
YDL012C	851550	YDL012C	Plasma membrane protein of unknown function; YDL012C is not an essential gene
YDL010W	851551	GRX6	Grx6p
YDL008W	851554	APC11	Apc11p
TT(AGU)D	851555	TT(AGU)D	tRNA
TS(AGA)D1	851556	TS(AGA)D1	tRNA
YDL007W	851557	RPT2	One of six ATPases of the 19S regulatory particle of the 26S proteasome involved in the degradation of ubiquitinated substrates; required for normal peptide hydrolysis by the core 20S particle
YDL006W	851558	PTC1	Ptc1p
YDL005C	851559	MED2	Med2p
YDL004W	851560	ATP16	Atp16p
YDL003W	851561	MCD1	Essential protein required for sister chromatid cohesion in mitosis and meiosis; subunit of the cohesin complex; expression is cell cycle regulated and peaks in S phase
YDL002C	851562	NHP10	Nhp10p
YDL001W	851563	RMD1	Cytoplasmic protein required for sporulation
YDR001C	851564	NTH1	Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; may be phosphorylated by Cdc28p
YDR002W	851565	YRB1	Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1
YDR003W	851566	RCR2	Rcr2p
YDR004W	851567	RAD57	Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p
YDR005C	851568	MAF1	Maf1p
YDR006C	851569	SOK1	Protein whose overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13
YDR007W	851570	TRP1	Phosphoribosylanthranilate isomerase that catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA)
YDR009W	851572	GAL3	Gal3p
YDR011W	851574	SNQ2	Plasma membrane ATP-binding cassette (ABC) transporter, multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species
YDR012W	851575	RPL4B	Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl4Ap and has similarity to E. coli L4 and rat L4 ribosomal proteins
YDR013W	851576	PSF1	Psf1p
YDR014W	851577	RAD61	Protein of unknown function; mutation confers radiation sensitivity
YDR016C	851579	DAD1	Dad1p
YDR017C	851580	KCS1	Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response and telomere maintenance
YDR018C	851581	YDR018C	Probable membrane protein with three predicted transmembrane domains; homologous to Ybr042cp, similar to C. elegans F55A11.5 and maize 1-acyl-glycerol-3-phosphate acyltransferase; null exhibits no apparent phenotype
YDR019C	851582	GCV1	Gcv1p
YDR020C	851583	DAS2	Das2p
YDR021W	851584	FAL1	Fal1p
YDR022C	851585	CIS1	Cis1p
TV(UAC)D	851586	TV(UAC)D	tRNA
YDR023W	851587	SES1	Cytosolic seryl-tRNA synthetase, class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p
YDR025W	851589	RPS11A	Protein component of the small (40S) ribosomal subunit; identical to Rps11Bp and has similarity to E. coli S17 and rat S11 ribosomal proteins
YDR026C	851590	YDR026C	Protein of unknown function that may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein that may bind to the Ter region of rDNA; interacts physically with Fob1p
YDR027C	851591	VPS54	Component of the GARP (Golgi-associated retrograde protein) complex, Vps51p-Vps52p-Vps53p-Vps54p, which is required for the recycling of proteins from endosomes to the late Golgi; potentially phosphorylated by Cdc28p
YDR028C	851592	REG1	Reg1p
YDR030C	851594	RAD28	Protein involved in transcription-coupled repair nucleotide excision repair of UV-induced DNA lesions; homolog of human CSA protein
YDR031W	851595	MIC14	Mic14p
YDR032C	851596	PST2	Protein with similarity to members of a family of flavodoxin-like proteins; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YDR033W	851597	MRH1	Mrh1p
YDR034C	851598	LYS14	Lys14p
YDR034C-D	851599	YDR034C-D	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YDR034C-C	851600	YDR034C-C	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag
TL(UAA)D	851601	TL(UAA)D	tRNA
YDR034C-A	851602	YDR034C-A	Putative protein of unknown function; contained within the solo Ty1 LTR element YDRWdelta7
TQ(UUG)D1	851603	TQ(UUG)D1	tRNA
YDR034W-B	851604	YDR034W-B	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery
YDR035W	851605	ARO3	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan
YDR036C	851606	EHD3	3-hydroxyisobutyryl-CoA hydrolase, member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis
YDR037W	851607	KRS1	Krs1p
YDR038C	851608	ENA5	Ena5p
YDR039C	851609	ENA2	Ena2p
YDR040C	851610	ENA1	Ena1p
YDR041W	851611	RSM10	Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins
YDR042C	851612	YDR042C	Putative protein of unknown function; expression is increased in ssu72-ts69 mutant
YDR043C	851613	NRG1	Nrg1p
YDR044W	851614	HEM13	Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; localizes to the mitochondrial inner membrane; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)
YDR045C	851615	RPC11	RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS
YDR046C	851616	BAP3	Amino acid permease involved in the uptake of cysteine, leucine, isoleucine and valine
YDR047W	851617	HEM12	Hem12p
YDR049W	851618	YDR049W	Ydr049wp
YDR050C	851620	TPI1	Tpi1p
YDR051C	851621	YDR051C	Protein of unknown function; interacts with Hsp82p in two-hybrid assay; deletion confers sensitivity to Nickel
YDR052C	851623	DBF4	Dbf4p
YDR054C	851624	CDC34	Cdc34p
YDR055W	851625	PST1	Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1
YDR056C	851626	YDR056C	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic retiuculum; YDR056C is not an essential protein
YDR057W	851627	YOS9	ER quality-control lectin; integral subunit of the HRD ligase; serves as a receptor for misfolded N-glycosylated proteins, participates in their targeting to ERAD; member of the OS-9 protein family
YDR058C	851628	TGL2	Protein with lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli; role in yeast lipid degradation is unclear
TR(UCU)D	851629	TR(UCU)D	tRNA
TD(GUC)D	851630	TD(GUC)D	tRNA
YDR059C	851631	UBC5	Ubc5p
YDR060W	851632	MAK21	Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein
YDR061W	851633	YDR061W	Protein with similarity to ATP-binding cassette (ABC) transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance
YDR062W	851634	LCB2	Component of serine palmitoyltransferase, responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine
YDR063W	851635	AIM7	Aim7p
YDR064W	851636	RPS13	Protein component of the small (40S) ribosomal subunit; has similarity to E. coli S15 and rat S13 ribosomal proteins
YDR065W	851637	YDR065W	Protein of unknown function, required for vacuolar acidification; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YDR066C	851638	RTR2	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YDR066C is not an essential gene
YDR067C	851639	OCA6	Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts
YDR068W	851640	DOS2	Dos2p
YDR069C	851641	DOA4	Doa4p
YDR070C	851642	FMP16	Fmp16p
YDR071C	851643	PAA1	Paa1p
YDR072C	851644	IPT1	Inositolphosphotransferase 1, involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), which is the most abundant sphingolipid in cells, mutation confers resistance to the antifungals syringomycin E and DmAMP1 in some growth media
YDR073W	851645	SNF11	Snf11p
YDR074W	851646	TPS2	Phosphatase subunit of the trehalose-6-phosphate synthase/phosphatase complex, which synthesizes the storage carbohydrate trehalose; expression is induced by stress conditions and repressed by the Ras-cAMP pathway
YDR075W	851647	PPH3	Catalytic subunit of an evolutionarily conserved protein phosphatase complex containing Psy2p and the regulatory subunit Psy4p; required for cisplatin resistance; involved in activation of Gln3p
YDR076W	851648	RAD55	Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p
YDR077W	851649	SED1	Major stress-induced structural GPI-cell wall glycoprotein in stationary-phase cells, associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites
YDR078C	851650	SHU2	Protein of unassigned function involved in mutation suppression, important for error-free repair of spontaneous and induced DNA lesions to protect the genome from mutation; associates with Shu1p, Psy3p, and Csm2p
YDR079W	851651	PET100	Chaperone that specifically facilitates the assembly of cytochrome c oxidase, integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme
YDR079C-A	851652	TFB5	Component of the RNA polymerase II general transcription and DNA repair factor TFIIH; involved in transcription initiation; homolog of the Chlamydomonas reinhardtii REX1-S protein which is involved in DNA repair
YDR080W	851653	VPS41	Vacuolar membrane protein that is a subunit of the homotypic vacuole fusion and vacuole protein sorting (HOPS) complex; essential for membrane docking and fusion at the Golgi-to-endosome and endosome-to-vacuole stages of protein transport
YDR081C	851654	PDC2	Pdc2p
YDR082W	851655	STN1	Stn1p
YDR083W	851656	RRP8	Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2; also involved in telomere maintenance; mutation is synthetically lethal with a gar1 mutation
YDR084C	851657	TVP23	Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern
YDR085C	851658	AFR1	Afr1p
YDR086C	851659	SSS1	Sss1p
YDR087C	851660	RRP1	Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to mature rRNAs, associated with several distinct 66S pre-ribosomal particles
YDR088C	851661	SLU7	RNA splicing factor, required for ATP-independent portion of 2nd catalytic step of spliceosomal RNA splicing; interacts with Prp18p; contains zinc knuckle domain
TR(ACG)D	851662	TR(ACG)D	tRNA
YDR089W	851663	YDR089W	Protein of unknown function; deletion confers resistance to Nickel
YDR090C	851664	YDR090C	Putative protein of unknown function
YDR091C	851665	RLI1	Essential iron-sulfur protein required for ribosome biogenesis and translation initiation; facilitates binding of a multifactor complex (MFC) of translation initiation factors to the small ribosomal subunit; predicted ABC family ATPase
YDR092W	851666	UBC13	Ubc13p
YDR093W	851667	DNF2	Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase
YDR096W	851670	GIS1	Gis1p
YDR097C	851671	MSH6	Msh6p
YDR098C	851672	GRX3	Grx3p
TQ(UUG)D2	851673	TQ(UUG)D2	tRNA
YDR098C-B	851674	YDR098C-B	Retrotransposon TYA Gag and TYB Pol genes; transcribed/translated as one unit; polyprotein is processed to make a nucleocapsid-like protein (Gag), reverse transcriptase (RT), protease (PR), and integrase (IN); similar to retroviral genes
YDR098C-A	851675	YDR098C-A	Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag
YDR099W	851676	BMH2	14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling
YDR100W	851677	TVP15	Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p
YDR101C	851678	ARX1	Arx1p
YDR103W	851680	STE5	Pheromone-response scaffold protein; binds kinases Ste11p, Ste7p, and Fus3p to form a MAPK cascade complex that interacts with the plasma membrane, via a PH (pleckstrin homology) and PM/NLS domain, and with Ste4p-Ste18p, during signaling
YDR104C	851681	SPO71	Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis
YDR105C	851682	TMS1	Tms1p
YDR106W	851683	ARP10	Arp10p
TI(AAU)D	851684	TI(AAU)D	tRNA
YDR107C	851685	TMN2	Multispanning membrane protein of unknown function
YDR108W	851686	GSG1	Gsg1p
YDR109C	851687	YDR109C	Putative kinase
YDR110W	851688	FOB1	Fob1p
YDR111C	851690	ALT2	Alt2p
YDR113C	851691	PDS1	Pds1p
YDR115W	851692	YDR115W	Putative mitochondrial ribosomal protein of the large subunit, has similarity to E. coli L34 ribosomal protein; required for respiratory growth, as are most mitochondrial ribosomal proteins
YDR114C	851693	YDR114C	Putative protein of unknown function; deletion mutant exhibits poor growth at elevated pH and calcium
YDR116C	851694	MRPL1	Mitochondrial ribosomal protein of the large subunit
YDR117C	851695	TMA64	Protein of unknown function that associates with ribosomes; has a putative RNA binding domain
YDR118W	851696	APC4	Apc4p
YDR119W	851697	YDR119W	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to vacuolar membrane; YDR119W is not an essential gene
YDR120C	851698	TRM1	Trm1p
YDR121W	851699	DPB4	Dpb4p
YDR122W	851700	KIN1	Kin1p
YDR123C	851701	INO2	Component of the heteromeric Ino2p/Ino4p basic helix-loop-helix transcription activator that binds inositol/choline-responsive elements (ICREs), required for derepression of phospholipid biosynthetic genes in response to inositol depletion
YDR124W	851702	YDR124W	Putative protein of unknown function; non-essential gene; expression is strongly induced by alpha factor
YDR125C	851703	ECM18	Ecm18p
YDR126W	851704	SWF1	Palmitoyltransferase that acts on the SNAREs Snc1p, Syn8p, Tlg1p and likely on all SNAREs; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; may have a role in vacuole fusion
YDR127W	851705	ARO1	Aro1p
YDR128W	851706	YDR128W	Putative protein of unknown function
YDR129C	851707	SAC6	Fimbrin, actin-bundling protein; cooperates with Scp1p (calponin/transgelin) in the organization and maintenance of the actin cytoskeleton
YDR130C	851708	FIN1	Fin1p
YDR131C	851709	YDR131C	F-box protein, substrate-specific adaptor subunit that recruits substrates to a core ubiquitination complex
YDR132C	851710	YDR132C	Putative protein of unknown function
YDR134C	851712	YDR134C	pseudo
YDR135C	851713	YCF1	Vacuolar glutathione S-conjugate transporter of the ATP-binding cassette family, has a role in detoxifying metals such as cadmium, mercury, and arsenite; also transports unconjugated bilirubin; similar to human cystic fibrosis protein CFTR
YDR137W	851714	RGP1	Rgp1p
YDR138W	851716	HPR1	Hpr1p
YDR139C	851717	RUB1	Rub1p
YDR140W	851718	MTQ2	Mtq2p
YDR141C	851719	DOP1	Dop1p
YDR142C	851720	PEX7	Peroxisomal signal receptor for the N-terminal nonapeptide signal (PTS2) of peroxisomal matrix proteins; WD repeat protein; defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP)
YDR143C	851721	SAN1	San1p
YDR144C	851722	MKC7	GPI-anchored aspartyl protease (yapsin) involved in protein processing; shares functions with Yap3p and Kex2p
YDR145W	851723	TAF12	Subunit (61/68 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification, similar to histone H2A
YDR146C	851724	SWI5	Swi5p
YDR147W	851725	EKI1	Eki1p
YDR148C	851726	KGD2	Dihydrolipoyl transsuccinylase, component of the mitochondrial alpha-ketoglutarate dehydrogenase complex, which catalyzes the oxidative decarboxylation of alpha-ketoglutarate to succinyl-CoA in the TCA cycle; phosphorylated
YDR150W	851727	NUM1	Num1p
YDR151C	851729	CTH1	Cth1p
YDR152W	851730	GIR2	Gir2p
YDR153C	851731	ENT5	Ent5p
YDR155C	851733	CPR1	Cpr1p
YDR156W	851734	RPA14	RNA polymerase I subunit A14
YDR158W	851736	HOM2	Aspartic beta semi-aldehyde dehydrogenase, catalyzes the second step in the common pathway for methionine and threonine biosynthesis; expression regulated by Gcn4p and the general control of amino acid synthesis
YDR159W	851737	SAC3	Nuclear pore-associated protein, forms a complex with Thp1p that is involved in transcription and in mRNA export from the nucleus
YDR160W	851738	SSY1	Component of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes
YDR161W	851739	YDR161W	Putative protein of unknown function; non-essential gene; proposed function in rRNA and ribosome biosynthesis based on transcriptional co-regulation
YDR162C	851740	NBP2	Nbp2p
YDR163W	851741	CWC15	Cwc15p
YDR164C	851742	SEC1	Sec1p
YDR165W	851743	TRM82	Subunit of a tRNA methyltransferase complex composed of Trm8p and Trm82p that catalyzes 7-methylguanosine modification of tRNA
YDR166C	851744	SEC5	Essential 107kDa subunit of the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p), which has the essential function of mediating polarized targeting of secretory vesicles to active sites of exocytosis
YDR167W	851745	TAF10	Subunit (145 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification
YDR168W	851746	CDC37	Cdc37p
YDR169C	851747	STB3	Protein that binds Sin3p in a two-hybrid assay
YDR170C	851748	SEC7	Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles
TQ(UUG)D3	851749	TQ(UUG)D3	tRNA
YDR170W-A	851750	YDR170W-A	Retrotransposon TYA Gag gene; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag; YDR170W-A is part of a mutant retrotransposon
YDR171W	851751	HSP42	Hsp42p
YDR172W	851752	SUP35	Sup35p
YDR173C	851753	ARG82	Arg82p
YDR174W	851754	HMO1	Chromatin associated high mobility group (HMG) family member involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase
YDR175C	851755	RSM24	Mitochondrial ribosomal protein of the small subunit
YDR176W	851756	NGG1	Ngg1p
YDR177W	851757	UBC1	Ubc1p
YDR178W	851758	SDH4	Membrane anchor subunit of succinate dehydrogenase (Sdh1p, Sdh2p, Sdh3p, Sdh4p), which couples the oxidation of succinate to the transfer of electrons to ubiquinone
YDR179C	851759	CSN9	Csn9p
YDR179W-A	851760	YDR179W-A	Putative protein of unknown function
YDR180W	851761	SCC2	Scc2p
YDR181C	851762	SAS4	Sas4p
YDR182W	851763	CDC1	Cdc1p
YDR183W	851764	PLP1	Plp1p
YDR184C	851765	ATC1	Atc1p
YDR185C	851766	YDR185C	Mitochondrial protein of unknown function; has similarity to Ups1p, which is involved in regulation of alternative topogenesis of the dynamin-related GTPase Mgm1p
YDR186C	851767	YDR186C	Putative protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm
YDR188W	851768	CCT6	Cct6p
YDR189W	851770	SLY1	Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex
YDR190C	851771	RVB1	Essential protein involved in transcription regulation; component of chromatin remodeling complexes; required for assembly and function of the INO80 complex; member of the RUVB-like protein family
YDR191W	851772	HST4	Hst4p
YDR192C	851774	NUP42	Nup42p
YDR194C	851775	MSS116	DEAD-box protein required for efficient splicing of mitochondrial Group I and II introns; non-polar RNA helicase that also facilities strand annealing
